Package , CPU , GPU , DRAM? , Time (sec) 
../rust/fannkuch-redux/ ; 858.138244628906250000, 743.221130371093750000,  ,  ,  226826 
../rust/fannkuch-redux/ ; 865.079467773437500000, 748.456115722656250000,  ,  ,  227325 
../rust/fannkuch-redux/ ; 855.308471679687500000, 744.826965332031250000,  ,  ,  226780 
../rust/fannkuch-redux/ ; 908.846679687500000000, 782.291137695312500000,  ,  ,  228113 
../rust/fannkuch-redux/ ; 899.185546875000000000, 774.906433105468750000,  ,  ,  226770 
../rust/fannkuch-redux/ ; 879.863159179687500000, 769.781921386718750000,  ,  ,  226393 
../rust/fannkuch-redux/ ; 884.167236328125000000, 778.049743652343750000,  ,  ,  226394 
../rust/fannkuch-redux/ ; 864.784423828125000000, 743.921508789062500000,  ,  ,  226790 
