Package , CPU , GPU , DRAM? , Time (sec) 
../ruby/fannkuch-redux/ ; 7275.119018554687500000, 6021.780578613281250000,  ,  ,  2.56111E+06 
../ruby/fannkuch-redux/ ; 8395.723876953125000000, 7352.254943847656250000,  ,  ,  1.95438E+06 
../ruby/fannkuch-redux/ ; 8187.863586425781250000, 7128.008422851562500000,  ,  ,  1.96401E+06 
../ruby/fannkuch-redux/ ; 8033.135437011718750000, 6988.935119628906250000,  ,  ,  1.95911E+06 
../ruby/fannkuch-redux/ ; 7992.608642578125000000, 6951.201416015625000000,  ,  ,  1.9557E+06 
../ruby/fannkuch-redux/ ; 8067.587524414062500000, 6939.302612304687500000,  ,  ,  2.17255E+06 
../ruby/fannkuch-redux/ ; 8481.319396972656250000, 7435.823547363281250000,  ,  ,  1.95882E+06 
../ruby/fannkuch-redux/ ; 4191.790405273437500000, 3676.465637207031250000,  ,  ,  962333 
